PMID,Title,,,,,,,,,,,,,
36012064,"Ketogenic Diet Benefits to Weight Loss, Glycemic Control, and Lipid Profiles in Overweight Patients with Type 2 Diabetes Mellitus: A Meta-Analysis of Randomized Controlled Trails",,,,,,,,,,,,,
35565778,Ketogenic Diet and Weight Loss: Is There an Effect on Energy Expenditure?,,,,,,,,,,,,,
37571305,The Ketogenic Diet and Cardiovascular Diseases,,,,,,,,,,,,,
23651522,Very-low-carbohydrate ketogenic diet v. low-fat diet for long-term weight loss: a meta-analysis of randomised controlled trials,,,,,,,,,,,,,
37513538,"The Effects of Ketogenic Diet on Insulin Sensitivity and Weight Loss, Which Came First: The Chicken or the Egg?",,,,,,,,,,,,,
31311141,Ketogenic Diet and Microbiota: Friends or Enemies?,,,,,,,,,,,,,
36293616,Mediterranean Diet versus Very Low-Calorie Ketogenic Diet: Effects of Reaching 5% Body Weight Loss on Body Composition in Subjects with Overweight and with Obesity-A Cohort Study,,,,,,,,,,,,,
34444726,"Ketogenic Diet, Physical Activity, and Hypertension-A Narrative Review",,,,,,,,,,,,,
38056430,GDF15 is a major determinant of ketogenic diet-induced weight loss,,,,,,,,,,,,,
33882506,European Guidelines for Obesity Management in Adults with a Very Low-Calorie Ketogenic Diet: A Systematic Review and Meta-Analysis,,,,,,,,,,,,,
32012661,Very Low-Calorie Ketogenic Diet: A Safe and Effective Tool for Weight Loss in Patients With Obesity and Mild Kidney Failure,,,,,,,,,,,,,
33530512,"Effects of Two Months of Very Low Carbohydrate Ketogenic Diet on Body Composition, Muscle Strength, Muscle Area, and Blood Parameters in Competitive Natural Body Builders",,,,,,,,,,,,,
30541806,Ketogenic diet for weight loss,,,,,,,,,,,,,
35027683,Ketogenic diet for epilepsy: an overview of systematic review and meta-analysis,,,,,,,,,,,,,
28193517,Obesity Energetics: Body Weight Regulation and the Effects of Diet Composition,,,,,,,,,,,,,
32923239,Advantages and Disadvantages of the Ketogenic Diet: A Review Article,,,,,,,,,,,,,
38232923,Ketogenic diet and cardiovascular risk - state of the art review,,,,,,,,,,,,,
35995402,"Ketogenic diet administration to mice after a high-fat-diet regimen promotes weight loss, glycemic normalization and induces adaptations of ketogenic pathways in liver and kidney",,,,,,,,,,,,,
34897736,Ketogenic diet and cancer: Fad or fabulous?,,,,,,,,,,,,,
27643725,"Short-term safety, tolerability and efficacy of a very low-calorie-ketogenic diet interventional weight loss program versus hypocaloric diet in patients with type 2 diabetes mellitus",,,,,,,,,,,,,
29361967,"The effect of a ketogenic diet versus a high-carbohydrate, low-fat diet on sleep, cognition, thyroid function, and cardiovascular health independent of weight loss: study protocol for a randomized controlled trial",,,,,,,,,,,,,
32734395,Diet approach before and after bariatric surgery,,,,,,,,,,,,,
25906427,The Ketogenic Diet and Sport: A Possible Marriage?,,,,,,,,,,,,,
34530857,"Effects of 30?days of ketogenic diet on body composition, muscle strength, muscle area, metabolism, and performance in semi-professional soccer players",,,,,,,,,,,,,
33257645,"Effect of the ketogenic diet on glycemic control, insulin resistance, and lipid metabolism in patients with T2DM: a systematic review and meta-analysis",,,,,,,,,,,,,
23801097,Beyond weight loss: a review of the therapeutic uses of very-low-carbohydrate (ketogenic) diets,,,,,,,,,,,,,
34610596,Dietary Interventions: A Promising Treatment for Polycystic Ovary Syndrome,,,,,,,,,,,,,
33042004,Efficacy of a 2-Month Very Low-Calorie Ketogenic Diet (VLCKD) Compared to a Standard Low-Calorie Diet in Reducing Visceral and Liver Fat Accumulation in Patients With Obesity,,,,,,,,,,,,,
31996078,Ketogenic Diet for the Treatment and Prevention of Dementia: A Review,,,,,,,,,,,,,
36949325,Ketogenic Diet and Inflammation: Implications for Mood and Anxiety Disorders,,,,,,,,,,,,,
29763005,Ketogenic Diet,,,,,,,,,,,,,
32669325,The Effects of High-Protein Diets on Kidney Health and Longevity,,,,,,,,,,,,,
37686712,"The Influence of Ketogenic Diet on Gut Microbiota: Potential Benefits, Risks and Indications",,,,,,,,,,,,,
32922235,A Whole Food Plant-Based Diet Is Effective for Weight Loss: The Evidence,,,,,,,,,,,,,
29541907,Overweight and diabetes prevention: is a low-carbohydrate-high-fat diet recommendable?,,,,,,,,,,,,,
15148063,"A low-carbohydrate, ketogenic diet versus a low-fat diet to treat obesity and hyperlipidemia: a randomized, controlled trial",,,,,,,,,,,,,
37088260,Ketogenic diet in children and adolescents: The effects on growth and nutritional status,,,,,,,,,,,,,
36079756,The Effect of Ketogenic Diet on Shared Risk Factors of Cardiovascular Disease and Cancer,,,,,,,,,,,,,
28193599,An Online Intervention Comparing a Very Low-Carbohydrate Ketogenic Diet and Lifestyle Recommendations Versus a Plate Method Diet in Overweight Individuals With Type 2 Diabetes: A Randomized Controlled Trial,,,,,,,,,,,,,
35482279,Migraine and Diet: Updates in Understanding,,,,,,,,,,,,,
34448957,Efficacy of Ketogenic Diets on Type 2 Diabetes: a Systematic Review,,,,,,,,,,,,,
30335720,A Low-Carbohydrate Ketogenic Diet Reduces Body Mass Without Compromising Performance in Powerlifting and Olympic Weightlifting Athletes,,,,,,,,,,,,,
36835094,The Ketogenic Diet in Colorectal Cancer: A Means to an End,,,,,,,,,,,,,
37815176,MicroRNAs and Diet-induced Weight Loss: What's the Link?,,,,,,,,,,,,,
38571924,Effects of ketogenic diet on weight loss parameters among obese or overweight patients with polycystic ovary syndrome: a systematic review and meta-analysis of randomized controlled trails,,,,,,,,,,,,,
37630844,Modified Mediterranean-Ketogenic Diet and Carboxytherapy as Personalized Therapeutic Strategies in Lipedema: A Pilot Study,,,,,,,,,,,,,
33920973,Effects of Calorie Restriction on Health Span and Insulin Resistance: Classic Calorie Restriction Diet vs. Ketosis-Inducing Diet,,,,,,,,,,,,,
36297044,Italian Ketogenic Mediterranean Diet in Overweight and Obese Patients with Prediabetes or Type 2 Diabetes,,,,,,,,,,,,,
34542110,"Ketogenic diet aggravates colitis, impairs intestinal barrier and alters gut microbiota and metabolism in DSS-induced mice",,,,,,,,,,,,,
34068325,The Potential Health Benefits of the Ketogenic Diet: A Narrative Review,,,,,,,,,,,,,
34796367,Diets for weight management in adults with type 2 diabetes: an umbrella review of published meta-analyses and systematic review of trials of diets for diabetes remission,,,,,,,,,,,,,
31611148,Review of current evidence and clinical recommendations on the effects of low-carbohydrate and very-low-carbohydrate (including ketogenic) diets for the management of body weight and other cardiometabolic risk factors: A scientific statement from the National Lipid Association Nutrition and Lifestyle Task Force,,,,,,,,,,,,,
35800806,A Comparative Study Evaluating the Effectiveness Between Ketogenic and Low-Carbohydrate Diets on Glycemic and Weight Control in Patients With Type 2 Diabetes Mellitus: A Systematic Review and Meta-Analysis,,,,,,,,,,,,,
24557522,Ketogenic diet for obesity: friend or foe?,,,,,,,,,,,,,
30934960,Impact of Different Types of Diet on Gut Microbiota Profiles and Cancer Prevention and Treatment,,,,,,,,,,,,,
33479499,"Effect of a plant-based, low-fat diet versus an animal-based, ketogenic diet on ad libitum energy intake",,,,,,,,,,,,,
30441982,[Low-carbohydrate diet in diabetes mellitus treatment],,,,,,,,,,,,,
34081228,"Novel Nutritional and Dietary Approaches to Weight Loss for the Prevention of Cardiovascular Disease: Ketogenic Diet, Intermittent Fasting, and Bariatric Surgery",,,,,,,,,,,,,
31665015,The management of very low-calorie ketogenic diet in obesity outpatient clinic: a practical guide,,,,,,,,,,,,,
32179679,Effect of a ketogenic diet on hepatic steatosis and hepatic mitochondrial metabolism in nonalcoholic fatty liver disease,,,,,,,,,,,,,
37630702,Popular Dietary Trends' Impact on Athletic Performance: A Critical Analysis Review,,,,,,,,,,,,,
27385608,Energy expenditure and body composition changes after an isocaloric ketogenic diet in overweight and obese men,,,,,,,,,,,,,
32916989,Very Low-Carbohydrate Ketogenic Diet for the Treatment of Severe Obesity and Associated Non-Alcoholic Fatty Liver Disease: The Role of Sex Differences,,,,,,,,,,,,,
31111407,Very-low-calorie ketogenic diet (VLCKD) in the management of metabolic diseases: systematic review and consensus statement from the Italian Society of Endocrinology (SIE),,,,,,,,,,,,,
30128963,Nutritional Ketosis for Weight Management and Reversal of Metabolic Syndrome,,,,,,,,,,,,,
31121637,The effects of popular diets on type 2 diabetes management,,,,,,,,,,,,,
38758782,Ketogenic diet induces p53-dependent cellular senescence in multiple organs,,,,,,,,,,,,,
37311455,Ketogenic diet promotes tumor ferroptosis but induces relative corticosterone deficiency that accelerates cachexia,,,,,,,,,,,,,
33652834,Very-Low-Calorie Ketogenic Diet as a Safe and Valuable Tool for Long-Term Glycemic Management in Patients with Obesity and Type 2 Diabetes,,,,,,,,,,,,,
35797039,Plant-Based and Ketogenic Diets As Diverging Paths to Address Cancer: A Review,,,,,,,,,,,,,
31705259,Efficacy and safety of very low calorie ketogenic diet (VLCKD) in patients with overweight and obesity: A systematic review and meta-analysis,,,,,,,,,,,,,
37236871,Chronotype as a predictor of weight loss and body composition improvements in women with overweight or obesity undergoing a very low-calorie ketogenic diet (VLCKD),,,,,,,,,,,,,
32648647,Scientific evidence underlying contraindications to the ketogenic diet: An update,,,,,,,,,,,,,
33743284,"Effects of calorie restricted low carbohydrate high fat ketogenic vs. non-ketogenic diet on strength, body-composition, hormonal and lipid profile in trained middle-aged men",,,,,,,,,,,,,
25402637,Do ketogenic diets really suppress appetite? A systematic review and meta-analysis,,,,,,,,,,,,,
38045995,The effect of a ketogenic diet on weight loss in CKD: a randomized controlled trial in obese stage G1-3a CKD patients,,,,,,,,,,,,,
37892458,Ketone Bodies in Diabetes Mellitus: Friend or Foe?,,,,,,,,,,,,,
35405935,Ketogenic Diet and Cardiac Substrate Metabolism,,,,,,,,,,,,,
38006799,The effects of the ketogenic diet for the management of type 2 diabetes mellitus: A systematic review and meta-analysis of recent studies,,,,,,,,,,,,,
36599697,"Safety, Efficacy, and Tolerability of Modified Atkins Diet in Persons With Drug-Resistant Epilepsy: A Randomized Controlled Trial",,,,,,,,,,,,,
33813635,The use of ketogenic diets in cancer patients: a systematic review,,,,,,,,,,,,,
33471427,Low-carbohydrate ketogenic diets in body weight control: A recurrent plaguing issue of fad diets?,,,,,,,,,,,,,
33838849,Clinical Implications for Women of a Low-Carbohydrate or Ketogenic Diet With Intermittent Fasting,,,,,,,,,,,,,
25287761,Dietary carbohydrate restriction as the first approach in diabetes management: critical review and evidence base,,,,,,,,,,,,,
32588435,Ketogenic diets for drug-resistant epilepsy,,,,,,,,,,,,,
31825066,The Ketogenic Diet: Evidence for Optimism but High-Quality Research Needed,,,,,,,,,,,,,
32207237,Beneficial effects of the ketogenic diet on nonalcoholic fatty liver disease: A comprehensive review of the literature,,,,,,,,,,,,,
37630772,Low-Calorie Ketogenic Diet: Potential Application in the Treatment of Polycystic Ovary Syndrome in Adolescents,,,,,,,,,,,,,
37729939,Polycystic Kidney Disease Diet: What is Known and What is Safe,,,,,,,,,,,,,
37405618,Ketogenic Diet as a Possible Non-pharmacological Therapy in Main Endocrine Diseases of the Female Reproductive System: A Practical Guide for Nutritionists,,,,,,,,,,,,,
36839285,Ketogenic Diet Applied in Weight Reduction of Overweight and Obese Individuals with Progress Prediction by Use of the Modified Wishnofsky Equation,,,,,,,,,,,,,
36083198,Ketogenic diet-induced weight loss occurs independent of housing temperature and is followed by hyperphagia and weight regain after cessation in mice,,,,,,,,,,,,,
37836447,Weight Loss Promotion in Individuals with Obesity through Gut Microbiota Alterations with a Multiphase Modified Ketogenic Diet,,,,,,,,,,,,,
38326186,Ketogenic diet for epilepsy and obesity: Is it the same?,,,,,,,,,,,,,
33844769,[The impact on metabolic and reproductive diseases of low-carbohydrate and ketogenic diets],,,,,,,,,,,,,
35129013,The Effect of Ketogenic Diet on Weight Loss in Adult Patients with Cancer: A Systematic Review and Meta-Analysis of Controlled Clinical Trials,,,,,,,,,,,,,
38223504,An 8-week ketogenic diet improves exercise endurance and liver antioxidant capacity after weight loss in obese mice,,,,,,,,,,,,,
35285809,Use of an mHealth Ketogenic Diet App Intervention and User Behaviors Associated With Weight Loss in Adults With Overweight or Obesity: Secondary Analysis of a Randomized Clinical Trial,,,,,,,,,,,,,
37231411,Effects of ketogenic diet on health outcomes: an umbrella review of meta-analyses of randomized clinical trials,,,,,,,,,,,,,
37923961,A ketogenic diet can mitigate SARS-CoV-2 induced systemic reprogramming and inflammation,,,,,,,,,,,,,
35575232,An isoproteic cocoa butter-based ketogenic diet fails to improve glucose homeostasis and promote weight loss in obese mice,,,,,,,,,,,,,
31430441,Attenuation of stress-induced weight loss with a ketogenic diet,,,,,,,,,,,,,
38529169,Effect of Ketogenic Diet on Obesity and Other Metabolic Disorders: Narrative Review,,,,,,,,,,,,,
37892502,Ketogenic Diet Exacerbates L-Arginine-Induced Acute Pancreatitis and Reveals the Therapeutic Potential of Butyrate,,,,,,,,,,,,,
34353205,A multiphase dietetic protocol incorporating an improved ketogenic diet enhances weight loss and alters the gut microbiome of obese people,,,,,,,,,,,,,
34071985,Obesity and Circulating Levels of Vitamin D before and after Weight Loss Induced by a Very Low-Calorie Ketogenic Diet,,,,,,,,,,,,,
36450844,"Comparison of a pre-bariatric surgery very low-calorie ketogenic diet and the Mediterranean diet effects on weight loss, metabolic parameters, and liver size reduction",,,,,,,,,,,,,
24584583,Comparison of a very low-calorie-ketogenic diet with a standard low-calorie diet in the treatment of obesity,,,,,,,,,,,,,
36079867,Ketogenic Diet for Preoperative Weight Reduction in Bariatric Surgery: A Narrative Review,,,,,,,,,,,,,
38937659,Ketogenic diet-induced bile acids protect against obesity through reduced calorie absorption,,,,,,,,,,,,,
15651909,Diet and exercise for weight loss: a review of current issues,,,,,,,,,,,,,
31323907,Ketogenic Diet-Induced Weight Loss is Associated with an Increase in Vitamin D Levels in Obese Adults,,,,,,,,,,,,,
29307147,"Internist, anesthesiologist and surgeon use of ketogenic diet",,,,,,,,,,,,,
22673594,Effect of low-calorie versus low-carbohydrate ketogenic diet in type 2 diabetes,,,,,,,,,,,,,
32983551,A comparison of a ketogenic diet with a LowGI/nutrigenetic diet over 6?months for weight loss and 18-month follow-up,,,,,,,,,,,,,
36933154,The Fat Kidney,,,,,,,,,,,,,
34139469,Epigenetic landscape in blood leukocytes following ketosis and weight loss induced by a very low calorie ketogenic diet (VLCKD) in patients with obesity,,,,,,,,,,,,,
37376562,Ketogenic Diet and Ketone Bodies as Clinical Support for the Treatment of SARS-CoV-2-Review of the Evidence,,,,,,,,,,,,,
29018777,"Rationale, Feasibility and Acceptability of Ketogenic Diet for Cancer Treatment",,,,,,,,,,,,,
29269731,Twelve-month outcomes of a randomized trial of a moderate-carbohydrate versus very low-carbohydrate diet in overweight adults with type 2 diabetes mellitus or prediabetes,,,,,,,,,,,,,
37017918,Effects of very low-calorie ketogenic diet on hypothalamic-pituitary-adrenal axis and renin-angiotensin-aldosterone system,,,,,,,,,,,,,
37794395,"Very-low-calorie ketogenic diet vs hypocaloric balanced diet in the prevention of high-frequency episodic migraine: the EMIKETO randomized, controlled trial",,,,,,,,,,,,,
35999869,A Novel Multiphase Modified Ketogenic Diet: An Effective and Safe Tool for Weight Loss in Chinese Obese Patients,,,,,,,,,,,,,
34063366,The Chemistry of the Ketogenic Diet: Updates and Opportunities in Organic Synthesis,,,,,,,,,,,,,
35044076,"Ketogenic diet, African American women, and cardiovascular health: A systematic review",,,,,,,,,,,,,
38669832,Ketogenic diet has a positive association with mental and emotional well-being in the general population,,,,,,,,,,,,,
30803508,"Weight loss, improved physical performance, cognitive function, eating behavior, and metabolic profile in a 12-week ketogenic diet in obese adults",,,,,,,,,,,,,
34558025,Effectiveness and Safety of a Very Low-Calorie Ketogenic Diet on Weight Regain Following Bariatric Surgery,,,,,,,,,,,,,
28439092,Timeline of changes in appetite during weight loss with a ketogenic diet,,,,,,,,,,,,,
34338787,Effect of a very low-carbohydrate ketogenic diet vs recommended diets in patients with type 2 diabetes: a meta-analysis,,,,,,,,,,,,,
31166223,A ketogenic diet for reducing obesity and maintaining capacity for physical activity: hype or hope?,,,,,,,,,,,,,
34252910,A ketogenic diet reduces mechanical allodynia and improves epidermal innervation in diabetic mice,,,,,,,,,,,,,
34802979,Effects of common weight loss plans on diabetes mellitus and cardiovascular risk factors,,,,,,,,,,,,,
38716951,The role of cognitive restraint savings and the safety of ketogenic weight loss interventions,,,,,,,,,,,,,
35441940,Potentials of ketogenic diet against chronic kidney diseases: pharmacological insights and therapeutic prospects,,,,,,,,,,,,,
21501628,A ketogenic diet delays weight loss and does not impair working memory or motor function in the R6/2 1J mouse model of Huntington's disease,,,,,,,,,,,,,
33213120,"Very-low-calorie ketogenic diet for the management of obesity, overweight and related disorders",,,,,,,,,,,,,
31790530,Ketogenic Diet for Obesity and Diabetes,,,,,,,,,,,,,
29986720,Efficacy of ketogenic diet on body composition during resistance training in trained men: a randomized controlled trial,,,,,,,,,,,,,
31298466,Effect of Synbiotic Supplementation in a Very-Low-Calorie Ketogenic Diet on Weight Loss Achievement and Gut Microbiota: A Randomized Controlled Pilot Study,,,,,,,,,,,,,
31705484,Ketogenic Diet: an Endocrinologist Perspective,,,,,,,,,,,,,
35667273,Immunomodulatory effect of a very-low-calorie ketogenic diet compared with bariatric surgery and a low-calorie diet in patients with excessive body weight,,,,,,,,,,,,,
33883420,Ketogenic diets and appetite regulation,,,,,,,,,,,,,
31526006,[Weight loss and body composition changes through ketogenic diet and physical activity: a methodological and systematic review],,,,,,,,,,,,,
35546051,The relationship between preoperative weight loss and intra and post-bariatric surgery complications: an appraisal of the current preoperative nutritional strategies,,,,,,,,,,,,,
37445930,A Ketogenic Diet in Combination with Gemcitabine Mitigates Pancreatic Cancer-Associated Cachexia in Male and Female KPC Mice,,,,,,,,,,,,,
28604374,A very low calorie ketogenic diet improves weight loss and quality of life in patients with adjustable gastric banding,,,,,,,,,,,,,
37892542,Effects of an Eight Week Very Low-Calorie Ketogenic Diet (VLCKD) on White Blood Cell and Platelet Counts in Relation to Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD) in Subjects with Overweight and Obesity,,,,,,,,,,,,,
36647097,Supplementation with medium-chain fatty acids increases body weight loss during very low-calorie ketogenic diet: a retrospective analysis in a real-life setting,,,,,,,,,,,,,
30968187,Ketogenic diet compromises vertebral microstructure and biomechanical characteristics in mice,,,,,,,,,,,,,
29340675,Interest in the Ketogenic Diet Grows for Weight Loss and Type 2 Diabetes,,,,,,,,,,,,,
31185843,[Ketogenic Diet and its Evidence-Based Therapeutic Implementation in Endocrine Diseases],,,,,,,,,,,,,
24675110,Ketogenic diet in adolescents and adults with epilepsy,,,,,,,,,,,,,
30877806,Extended Ketogenic Diet and Physical Training Intervention in Military Personnel,,,,,,,,,,,,,
36438743,Editorial: Interaction effect of low carbohydrate diets and exercise on weight loss and cardio-metabolic health,,,,,,,,,,,,,
31531148,Ketogenic Diet and Skeletal Muscle Hypertrophy: A Frenemy Relationship?,,,,,,,,,,,,,
31561520,Ketogenic Diets and Exercise Performance,,,,,,,,,,,,,
36809658,"Efficacy, feasibility and tolerability of ketogenic diet for the treatment of poor response to bariatric surgery",,,,,,,,,,,,,
12043107,Effect of weight loss plans on body composition and diet duration,,,,,,,,,,,,,
39277292,Lifestyle Therapy for Obesity,,,,,,,,,,,,,
32379476,[Multidisciplinary methodology and ketogenic diet in real clinical practice: efficacy and rapidity in weight loss. Survival Analysis PROMET Lipoinflammation study],,,,,,,,,,,,,
25426472,"The effect of weight loss by ketogenic diet on the body composition, performance-related physical fitness factors and cytokines of Taekwondo athletes",,,,,,,,,,,,,
38582033,Effects of a ketogenic diet on motor function and motor unit number estimation in aged C57BL/6 mice,,,,,,,,,,,,,
18950537,Spanish Ketogenic Mediterranean Diet: a healthy cardiovascular diet for weight loss,,,,,,,,,,,,,
34073344,Reduction of Cardio-Metabolic Risk and Body Weight through a Multiphasic Very-Low Calorie Ketogenic Diet Program in Women with Overweight/Obesity: A Study in a Real-World Setting,,,,,,,,,,,,,
30452850,Ketogenic Weight Loss: The Lowering of Insulin Levels Is the Sleeping Giant in Patient Care,,,,,,,,,,,,,
36839183,The Effects of Eight Weeks' Very Low-Calorie Ketogenic Diet (VLCKD) on Liver Health in Subjects Affected by Overweight and Obesity,,,,,,,,,,,,,
38999778,"Effects of a Ketogenic Diet on Body Composition in Healthy, Young, Normal-Weight Women: A Randomized Controlled Feeding Trial",,,,,,,,,,,,,
33039330,Ketogenic Diet as a Normal Way of Eating in Adults With Type 1 and Type 2 Diabetes: A Qualitative Study,,,,,,,,,,,,,
38677719,The case for a ketogenic diet in the management of kidney disease,,,,,,,,,,,,,
36943505,Ketogenic diet for mood disorders from animal models to clinical application,,,,,,,,,,,,,
38526760,Obesity and Obesity-Related Thyroid Dysfunction: Any Potential Role for the Very Low-Calorie Ketogenic Diet (VLCKD)?,,,,,,,,,,,,,
35653127,Clinical and nutritional management of very-low-calorie ketogenic diet (VLCKD) in patients with psoriasis and obesity: a practical guide for the nutritionist,,,,,,,,,,,,,
39246956,Ketogenic Diet and Its Potential Role in Preventing Type 2 Diabetes Mellitus and Its Complications: A Narrative Review of Randomized Controlled Trials,,,,,,,,,,,,,
35773554,The gut microbiome as possible mediator of the beneficial effects of very low calorie ketogenic diet on type 2 diabetes and obesity: a narrative review,,,,,,,,,,,"""","""","10.1007/s40519-022-01434-2"""""""
24398402,Long-term ketogenic diet causes glucose intolerance and reduced ?- and ?-cell mass but no weight loss in mice,,,,,,,,,,,,,
37832180,Role of insulin resistance and leptin in the effect of intermittent feeding with a high-protein ketogenic diet on body composition in rats,,,,,,,,,,,,,
37876614,"Corrigendum: Weight, insulin resistance, blood lipids, and diet quality changes associated with ketogenic and ultra low-fat dietary patterns: a secondary analysis of the DIETFITS randomized clinical trial",,,,,,,,,,,,,
38788511,Take the bull by the horns and tackle the potential downsides of the ketogenic diet,,,,,,,,,,,,,
31999983,"Comments on ""The ketogenic diet: Pros and cons""",,,,,,,,,,,,,
29763602,A ketogenic diet reduces metabolic syndrome-induced allodynia and promotes peripheral nerve growth in mice,,,,,,,,,,,,,
37466954,Very low-calorie ketogenic diet: A valuable and fashionable nutritional therapy. When could it become dangerous?,,,,,,,,,,,,,
36963504,"Association between Fat-Free Mass Loss, Changes in Appetite, and Weight Regain in Individuals with Obesity",,,,,,,,,,,,,
33063272,The ketogenic diet corrects metabolic hypogonadism and preserves pancreatic ß-cell function in overweight/obese men: a single-arm uncontrolled study,,,,,,,,,,,,,
35206443,Heart Rate Variability and Sympathetic Activity Is Modulated by Very Low-Calorie Ketogenic Diet,,,,,,,,,,,,,
24352095,Long term successful weight loss with a combination biphasic ketogenic Mediterranean diet and Mediterranean diet maintenance protocol,,,,,,,,,,,,,
31943235,"Ketogenic diets and protective mechanisms in epilepsy, metabolic disorders, cancer, neuronal loss, and muscle and nerve degeneration",,,,,,,,,,,,,
28752049,Beta-adrenergic receptors are critical for weight loss but not for other metabolic adaptations to the consumption of a ketogenic diet in male mice,,,,,,,,,,,,,
39203867,Sex- and Age-Specific Differences in Mice Fed a Ketogenic Diet,,,,,,,,,,,,,
34582564,Adipose tissue and blood leukocytes ACE2 DNA methylation in obesity and after weight loss,,,,,,,,,,,,,
35920294,"Does exercise during a ketogenic diet effectively alter appetite sensation, appetite-regulating hormones, and body composition?",,,,,,,,,,,,,
36536479,Positive effects of ketogenic diet on weight control in children with obesity due to Prader-Willi syndrome,,,,,,,,,,,,,
36749276,A bibliometric analysis of the global trends and hotspots for the ketogenic diet based on CiteSpace,,,,,,,,,,,,,
23632752,Ketosis and appetite-mediating nutrients and hormones after weight loss,,,,,,,,,,,,,
32969257,Very low-calorie ketogenic diet (VLCKD) in patients with psoriasis and obesity: an update for dermatologists and nutritionists,,,,,,,,,,,,,
37950240,Opposite effects of low-carbohydrate high-fat diet on metabolism in humans and mice,,,,,,,,,,,,,
34087943,Ketogenic Diet with Concurrent Chemoradiation in Head and Neck Squamous Cell Carcinoma: Preclinical and Phase 1 Trial Results,,,,,,,,,,,,,
28079250,Use of the ketogenic diet in the neonatal intensive care unit-Safety and tolerability,,,,,,,,,,,,,
39039372,"A New Nomenclature for the Very Low-Calorie Ketogenic Diet (VLCKD): Very Low-Energy Ketogenic Therapy (VLEKT). Ketodiets and Nutraceuticals Expert Panels: ""KetoNut"", Italian Society of Nutraceuticals (SINut) and the Italian Association of Dietetics and Clinical Nutrition (ADI)",,,,,,,,,,,,,
31925498,"Effectiveness, retention, and safety of modified ketogenic diet in adults with epilepsy at a tertiary-care centre in the UK",,,,,,,,,,,,,
36629058,"Effects of Hypocaloric Low-Fat, Ketogenic, and Ketogenic and Ketone Supplement Diets on Aldosterone and Renin",,,,,,,,,,,,,
